Tue May 23 22:27:25 +0000 2017,867144966346334209,"@cristie_fabris @jeffgouveaofc @renan_osti @jairbolsonaro @VillaMarcovilla Não deixam o Bolsonaro falar, aproveitam… https://t.co/kz6PkYL0kz",62427184
Tue May 23 22:27:27 +0000 2017,867144976488173568,"RT @AiltonBenedito: STF gastou quase 20 anos para julgar Maluf. Imaginem quanto gastará para ""julgar"" uns 1890 réus da #LavaJato com fo… ",55983287
Tue May 23 22:27:32 +0000 2017,867144994427219968,@jairbolsonaro  PQP MESMO! https://t.co/Rr4L3hl16T,707369651467116544
Tue May 23 22:27:33 +0000 2017,867145000257298433,"RT @AiltonBenedito: STF gastou quase 20 anos para julgar Maluf. Imaginem quanto gastará para ""julgar"" uns 1890 réus da #LavaJato com fo… ",809522787073359876
Tue May 23 22:27:33 +0000 2017,867145002052448256,RT @speeddf: @Marcelo04346868 @cassiafiori @DarthPiracaia @SakaSakamori3 @paulaargollo @barbuleta2 @enosms @VelvetSkye @Moraes5O… ,831922447633018881
Tue May 23 22:27:34 +0000 2017,867145003377852418,@briel_sou @rachelgratival @hauptariel @celsodossi @jairbolsonaro alguem mais quer entrar na lista? https://t.co/hqDcxJxZYi,65290842
Tue May 23 22:27:34 +0000 2017,867145005407903744,#FORATEMER https://t.co/kCvCn4heYW,485764276
Tue May 23 22:27:38 +0000 2017,867145019995676674,"RT @FlavioBolsonaro: É daqui a pouco! Vamos ver como será a edição dessa matéria, que foi feita acompanhando a rotina de @jairbolsonaro… ",328625481
Tue May 23 22:27:39 +0000 2017,867145024949166081,"Faz 1 ano que esse áudio vazou. E o brasileiro continua tomando no c* porque quer! 
#foratemer e todos vagabundos. https://t.co/uDTkyeIhi8",70193861
Tue May 23 22:27:42 +0000 2017,867145039109115905,RT @guardianworld: Brazil woman got longer jail term for Easter egg theft than corruption culprits #LavaJato https://t.co/O1jj756Qsb,77280926
Tue May 23 22:27:43 +0000 2017,867145041818644481,"Domingo, 11h, ato na praia de Copacabana!!! Vamos continuar lutando... Desistir, jamais!!!

DIVULGUEM!!!

#ForaTemer #DiretasJá",741702251371204608
Tue May 23 22:27:49 +0000 2017,867145068402155521,RT @jairbolsonaro: JBS: os vagabundos tentam mas não conseguirão me alinhar com os que vocês defendem! https://t.co/JlFjfYzmC0,328625481
Tue May 23 22:27:52 +0000 2017,867145078460088321,RT @CFKArgentina: O Globo había afirmado que los ex presidentes @LulapeloBrasil y @dilmabr tenían cuentas offshore para recibir coimas. Era…,2941043711
Tue May 23 22:27:52 +0000 2017,867145078892101637,RT @jairbolsonaro: SOMOS TODOS IGUAIS! https://t.co/2LOLu0b3lC,545899646
Tue May 23 22:27:53 +0000 2017,867145084202082305,RT @CFKArgentina: O Globo había afirmado que los ex presidentes @LulapeloBrasil y @dilmabr tenían cuentas offshore para recibir coimas. Era…,767495151505838081
Tue May 23 22:27:57 +0000 2017,867145101465792513,@0fodaseoficial @dennyfazer @lobaoeletrico @UOLNoticias @jairbolsonaro https://t.co/882iX92mea,2306765216
Tue May 23 22:28:01 +0000 2017,867145118641467393,"RT @benebarbosa_mvb: P/ Villa, @jairbolsonaro, por receber do PP, recebeu também da JBS. Então se a Friboi anunciou na Jovem Pan, JBS pagou…",165101130
Tue May 23 22:28:06 +0000 2017,867145137515835394,@jairbolsonaro É professor @VillaMarcovilla podia ter ficado sem essa... Mas ainda aprecio o seu trabalho.,147349751
Tue May 23 22:28:08 +0000 2017,867145145262768128,RT @Ojo_Publico: Especial #Lavajato: Conoce todos los nombres e involucrados en el caso de corrupción más grande de América Latina https://…,823949292729679878
Tue May 23 22:28:18 +0000 2017,867145190200442880,"RT @AiltonBenedito: STF gastou quase 20 anos para julgar Maluf. Imaginem quanto gastará para ""julgar"" uns 1890 réus da #LavaJato com fo… ",28342530
Tue May 23 22:28:28 +0000 2017,867145230830718979,RT @CFKArgentina: O Globo había afirmado que los ex presidentes @LulapeloBrasil y @dilmabr tenían cuentas offshore para recibir coimas. Era…,3053065653
Tue May 23 22:28:29 +0000 2017,867145237130563584,RT @_Filizola: Paga o preço.Quem sabe agora estes pseudo jornalistas abrem o olho de vez para quem sempre defendeu a Democracia… ,69456576
Tue May 23 22:28:30 +0000 2017,867145241429671936,RT @CFKArgentina: O Globo había afirmado que los ex presidentes @LulapeloBrasil y @dilmabr tenían cuentas offshore para recibir coimas. Era…,1406016967
Tue May 23 22:28:39 +0000 2017,867145278473875457,"QUEM FALA CONTRA É VERMELHO, https://t.co/zzrbGXPKSb",266829985
Tue May 23 22:28:40 +0000 2017,867145282806583297,RT @CFKArgentina: O Globo había afirmado que los ex presidentes @LulapeloBrasil y @dilmabr tenían cuentas offshore para recibir coimas. Era…,701428765499514880
